genus	Toti_ONT_ZMB1	Toti_NovaSeq_ZMB1	Toti_MySeq_ZHMW4	Toti_MySeq_ZHMW3	Toti_MySeq_ZHMW2	Toti_MySeq_ZHMW1	Toti_MySeq_Q4	Toti_MySeq_Q3	Toti_MySeq_Q2	Toti_MySeq_Q1	Toti_MySeq_MN4	Toti_MySeq_MN3	Toti_MySeq_MN2	Toti_MySeq_MN1	Toti_MySeq_I4	Toti_MySeq_I3	Toti_MySeq_I2	Toti_MySeq_I1
Aurunvirus	85	109	5	15	16	12	11	2	1	2	13	9	20	26	7	11	22	11
Biavirus	35	10	1	1	4	1	4	10	2	7	0	0	3	2	0	2	6	2
Buchavirus	8	6	5	11	3	5	17	19	17	25	1	2	8	2	1	2	9	1
Busanvirus	4	0	2	1	6	7	17	13	19	17	2	3	10	1	1	0	14	2
Cohcovirus	5	0	0	6	6	8	11	24	10	13	1	1	8	0	2	6	9	2
Cyamitesvirus	1	5	1	2	3	1	0	0	0	4	9	4	6	11	6	6	14	8
Erskinevirus	92	20	9	12	17	17	26	32	24	34	9	12	22	25	7	14	33	15
Fadolivirus	24	8	0	0	0	1	2	6	4	5	1	1	1	0	0	0	1	1
Faustvirus	157	78	4	7	9	11	1	2	0	0	18	11	17	39	10	11	34	18
Gualtarvirus	138	51	12	8	15	16	1	2	0	1	5	6	8	18	5	11	22	10
Kingevirus	2111	1101	4	13	6	11	0	1	0	0	44	43	61	93	43	45	105	43
Lacusarxvirus	83	94	10	7	15	16	1	2	1	1	4	4	11	22	4	7	8	9
Lahndsivirus	1221	1210	4	16	8	18	2	16	6	9	61	60	83	142	50	58	130	63
Ludhianavirus	128	61	3	6	9	3	3	10	5	17	1	2	4	1	0	1	8	1
Lughvirus	16	19	16	29	23	23	24	10	5	14	9	8	26	26	5	7	22	7
Marfavirus	83	56	0	1	0	0	0	0	0	0	9	4	6	12	6	2	10	5
Matervirus	173	132	14	14	12	15	0	2	0	0	19	9	17	27	18	9	42	16
missing	760	518	46	91	73	56	12	11	7	12	42	53	79	125	42	55	118	41
Moonbeamvirus	4	6	3	4	9	3	1	12	1	2	2	0	8	5	12	6	14	5
Mylasvirus	166	89	2	2	4	3	2	5	2	3	3	2	4	8	0	0	4	1
Natevirus	1133	796	83	74	74	80	2	3	5	7	87	93	117	187	99	86	233	104
Omarvirus	56	1	10	3	7	7	1	1	0	0	3	3	7	13	7	8	7	2
Poindextervirus	294	137	10	13	18	22	8	12	9	12	4	8	18	21	6	4	24	14
Polybotosvirus	32	22	2	1	4	0	3	3	3	4	1	1	3	1	3	1	5	8
Shenzhenivirus	5	6	0	5	1	5	1	0	0	4	2	3	7	18	0	5	11	3
Toutatisvirus	6	6	19	37	31	21	37	17	5	18	5	19	34	30	7	9	27	12
Tulanevirus	38	105	3	2	2	5	0	0	0	0	4	1	0	7	3	1	2	6
Wakandavirus	2	0	4	5	6	2	6	1	1	2	5	3	3	2	1	0	1	1
Wellingtonvirus	76	22	7	3	12	6	1	1	0	0	5	2	7	19	3	4	5	6
Wroclawvirus	303	699	0	1	1	5	0	0	0	0	10	7	9	15	4	6	17	13
