family	PRMT_CO1_canis_ONT_20240807_bc01	PRMT_CO2_canis_ONT_20240807_bc02	PRMT_CO3_canis_ONT_20240807_bc03	PRMT_CP1_canis_PB_20240807_bc31	PRMT_CP2_canis_PB_20240807_bc32	PRMT_CP3_canis_PB_20240807_bc33	PRMT_LM1_canis_MONT_20240807_bc16	PRMT_LM2_canis_MONT_20240807_bc17	PRMT_LM3_canis_MONT_20240807_bc18
Acidaminococcaceae	8731.25154439295	5374.56785059515	7662.70116774178	6409.21211383983	10685.5431660897	8910.3376267617	5405.98357447459	13132.7481221077	15623.6883033236
Bacteroidaceae	1045.8761377516	644.685177912818	832.433944069146	1216.481005602	2119.4013862912	1616.60648373494	1128.4238452956	2661.1282769357	3143.09972859789
Bifidobacteriaceae	46.6964217079551	26.1760847327576	16.0693787232004	869.597368567929	1766.57425654028	839.25389106828	767.695091952469	2227.71667879897	1548.4931649493
Clostridiaceae	3532.90448482812	2537.18502891325	2651.77716480385	2971.54910871491	6153.63546294738	3570.57153411071	2527.665203881	6971.76040770077	5975.08674214132
Clostridiales Family XIII. Incertae Sedis	10823.3517839873	7778.870136449	8409.93391593113	9365.19532295045	18095.0622986892	11141.2621133897	7345.15210772979	20356.2977762764	18601.5717098078
Coriobacteriaceae	418.69128060597	257.465868244918	257.516355104452	2430.4312499412	4421.18707902284	2744.22001840683	4402.21851673737	11669.1414497255	9635.61563043265
Enterococcaceae	5388.39102538206	3861.08737127539	3369.43981310562	4014.63314875312	8242.81082868296	4098.60831003714	3022.81220018017	9335.08914925218	6622.69377856367
Erysipelotrichaceae	4883.10831434878	3603.26687592364	3467.86397094328	2463.96434228519	5443.48121796023	3078.65257239459	929.512073577916	2819.40108806778	2257.7659826265
Fusobacteriaceae	5609.5635106076	3616.89745526291	4783.35575967301	1789.2648787908	3488.69664896149	2726.19671479209	1151.421378095	2726.52651471985	2920.27053170751
Hungateiclostridiaceae	553.661323120786	388.535522047379	464.91883479746	546.095063219058	926.88296275459	683.722530778524	461.646797923143	1158.9886126164	1057.53217652328
Lachnospiraceae	101139.999045833	73385.7923881498	73458.4313662413	85135.6247176315	167071.916967724	98261.4965127804	70041.6243940223	195266.97119833	163414.86678123
Lactobacillaceae	22852.9491077321	16779.7357449174	15690.9402723006	17894.2103443126	36051.3487674487	19416.2382084394	14900.9297700057	43388.3304490438	33205.4712893928
Peptococcaceae	1341.21853043231	989.780743666733	1095.99157313038	2309.20323537529	4163.41039182921	2728.48813214878	1857.98164123672	4874.74747123691	4461.95562041734
Peptostreptococcaceae	78504.574330664	52801.1247667297	62455.1138778267	65187.4740687939	117760.16086751	81520.676449538	51656.1366795216	132770.368910675	131477.995942233
Ruminococcaceae	20451.5113725829	12759.6230922113	16398.1846539206	15130.8593602993	26483.9564690395	19838.6258172199	12149.7961031002	31734.8678655981	34135.8183854155
Selenomonadaceae	14957.4137776665	9586.58442106426	12493.760575094	11452.7645989142	19192.376763623	15489.5251584705	9365.73661849155	22475.4515486993	26275.4471931868
Streptococcaceae	73273.0518007412	55589.8569303744	48352.0900903977	56135.2101340845	114823.211928733	56976.1749721753	45542.359749799	135921.92982854	98992.3502235063
Sutterellaceae	1369.31290171187	868.571625557759	1129.71489134329	2612.72342569042	4466.63216233921	3611.93380532371	1532.22136093492	3818.7727112405	4397.07362972258
unassigned	1597.52986625927	1049.49037282285	1306.22962263636	1635.96981634766	2865.5923495385	2361.68582503578	1665.83919173632	3827.9555676118	4359.82504237688
Veillonellaceae	608.80773538448	409.158999205221	449.836996555747	665.213144647092	978.348727341889	435.202645098619	312.651335633069	1205.67205546879	953.931314383161
