superkingdom	phylum	class	Zymo_6323_WGS_kraken2_ONT	PRMT_FM1_FR_MONT_20240807_bc25_D6323	PRMT_FM2_FR_MONT_20240807_bc26_D6323	PRMT_FM3_FR_MONT_20240807_bc27_D6323	PRMT_FO1_FR_ONT_20240807_bc10_D6323	PRMT_FO2_FR_ONT_20240807_bc11_D6323	PRMT_FO3_FR_ONT_20240807_bc12_D6323	PRMT_FP1_FR_PB_20240807_bc40_D6323	PRMT_FP2_FR_PB_20240807_bc41_D6323	PRMT_FP3_FR_PB_20240807_bc42_D6323
Archaea	Euryarchaeota	NA	9367	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	NA	62385	0	0	0	0	0	0	0	0	0
Bacteria	Actinobacteria	Actinobacteria	0	2137.42438411578	2495.79375977262	1624.74545898782	74.5738098748885	57.1211821821384	64.5047428999611	1585.09458509585	1669.8796480925	1363.33912374926
Bacteria	Actinobacteria	Coriobacteriia	0	1705.52807546935	2312.97823979255	1028.54102017763	489.638139372979	604.688208225258	571.050393246456	832.616581000717	899.310104319541	764.790514798227
Bacteria	Bacteroidetes	NA	794857	0	0	0	0	0	0	0	0	0
Bacteria	Bacteroidetes	Bacteroidia	0	17663.880379016	21867.0417286891	13852.6066268744	14291.3574527814	18843.5126283136	19057.1857111163	12445.0120996977	12112.3285295475	10733.4124801279
Bacteria	Candidatus Melainabacteria	NA	12465	0	0	0	0	0	0	0	0	0
Bacteria	Candidatus Melainabacteria	unassigned	0	747.840073868285	1001.23750680231	629.793524196042	1285.45880035419	1722.63393202883	1766.47334749602	452.536954029674	425.857305105358	467.016453945351
Bacteria	Cyanobacteria	Gloeobacteria	0	0	0	0	14.1892131882266	13.9788906062282	19.479697332796	0	0	0
Bacteria	Cyanobacteria	unassigned	0	0	0	0	0	14.0080859203015	16.008466309803	0	0	0
Bacteria	Firmicutes	NA	2395721	0	0	0	0	0	0	0	0	0
Bacteria	Firmicutes	Bacilli	0	2630.0740530225	2781.12786554644	2158.0592483272	2951.7492136711	3915.98551881384	4545.94296637346	1817.0428939118	1126.23841026847	1724.80832332407
Bacteria	Firmicutes	Clostridia	0	317661.86664894	408572.889392461	261872.26258974	488793.141323902	653226.632762522	705088.433966368	193404.136564379	187715.079575909	197172.964064205
Bacteria	Firmicutes	Erysipelotrichia	0	1012.93069940712	1232.47772767439	725.24562799508	2156.48864107502	2806.5200658936	2833.98390386079	1431.7826056117	1519.38322097313	1108.49058766654
Bacteria	Firmicutes	Negativicutes	0	6766.52838973101	8488.06164785662	5717.70848908076	11718.2598735835	15926.1475667315	18390.6910353721	4499.09372973243	3868.66802910306	4732.21286043416
Bacteria	Firmicutes	Tissierellia	0	22.3056876145752	16.0373227603858	0	34.9843141697078	58.0567912182591	45.5393653273039	20.7650915833431	0	0
Bacteria	Firmicutes	unassigned	0	25.0301542580542	21.9161341406332	23.8516113035324	34.0243168037466	51.9892995825774	47.9882924070087	0	0	16.0349396052989
Bacteria	Fusobacteria	Fusobacteriia	0	54.0651281381693	29.026583354737	26.034971853778	21.0154775261501	32.0190775468539	43.0227844445828	19.036749808188	0	17.0371233302268
Bacteria	Lentisphaerae	NA	1921	0	0	0	0	0	0	0	0	0
Bacteria	Lentisphaerae	Lentisphaeria	0	124.149552760625	126.115500092995	97.1304719160177	118.084102756164	154.091810694235	182.096436486374	44.0851048189616	57.1104214759989	53.1157374412953
Bacteria	Proteobacteria	NA	31624	0	0	0	0	0	0	0	0	0
Bacteria	Proteobacteria	Alphaproteobacteria	0	197.237595917121	232.212665730937	156.209831122668	195.138983368238	270.160966472174	287.152072920796	30.0580260129284	31.0600537851924	33.0720629351461
Bacteria	Proteobacteria	Betaproteobacteria	0	461.555998701222	674.615896017813	385.517852450174	301.574642180032	407.242642504883	469.352960056597	498.963231814611	374.724519860063	361.788324835992
Bacteria	Proteobacteria	Deltaproteobacteria	0	109.131461700872	195.662592248657	94.3714886195795	116.782349965059	127.818161786237	143.061353813502	78.5572519598881	74.1433541969109	50.1091862653729
Bacteria	Proteobacteria	Gammaproteobacteria	0	330.430923511918	685.631579627846	275.372536039342	406.378636090934	610.366308345348	695.357199116395	260.627261999138	81.1617405932068	201.441663445965
Bacteria	Synergistetes	Synergistia	0	82.8991785227842	73.853888583086	56.3350355902038	75.0846817690339	122.487029391177	134.325485701708	21.0509416420296	37.0701019596464	37.3014288046965
Bacteria	Tenericutes	NA	5440	0	0	0	0	0	0	0	0	0
Bacteria	Tenericutes	Mollicutes	0	83.9412463213214	125.296041903108	54.0726338501543	219.783211068103	312.168080110704	289.024962675893	91.4765537240311	93.1791017571968	59.0322298974481
Bacteria	unknown	NA	13944	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	NA	37651	0	0	0	0	0	0	0	0	0
Bacteria	Verrucomicrobia	Verrucomicrobiae	0	906.091493938431	1069.97991745565	720.011194544762	386.274998114366	546.338797617728	517.273943206076	481.930350407285	399.772950331993	409.893143655453
Eukaryota	unknown	NA	4275	0	0	0	0	0	0	0	0	0
unassigned	unassigned	NA	617629	0	0	0	0	0	0	0	0	0
Viruses	unknown	NA	708	0	0	0	0	0	0	0	0	0
