superkingdom	phylum	class	order	family	genus	species	PRMT_HM1_human_MONT_20240807_bc28	PRMT_HM2_human_MONT_20240807_bc29	PRMT_HM3_human_MONT_20240807_bc30	PRMT_HO1_human_ONT_20240807_bc13	PRMT_HO2_human_ONT_20240807_bc14	PRMT_HO3_human_ONT_20240807_bc15	PRMT_HP1_human_PB_20240807_bc43	PRMT_HP2_human_PB_20240807_bc44	PRMT_HP3_human_PB_20240807_bc45
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium adolescentis	7461.70044848919	4397.32628939125	4037.99972671815	84.0268179346275	64.0059774122738	58.5461413350138	6008.78427285572	3125.93432272438	8115.43655256249
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	3041.19916404468	2092.8888741608	2142.79944149419	6661.83084788021	2408.60666160995	4435.07291959861	3679.59964318962	1913.45110859873	6472.25498967817
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides uniformis	11002.0300788148	6476.57139255354	7875.45095144419	13818.4742792875	5138.1620270011	8856.93734200996	8445.51493665958	4368.30942332604	15841.2791945491
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	Phocaeicola dorei	16717.7610146302	10844.6821579211	12711.5319486613	19504.4798506447	7500.99459844218	13423.8553071901	12338.9560443055	6883.03760636851	23616.5897681498
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unassigned	Phocaeicola	Phocaeicola massiliensis	10476.4150726825	6586.90038520916	7867.17443352752	12293.9801490783	4918.82310913219	8370.14677109221	7924.03492672599	4308.10989630906	15518.0890027946
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerobutyricum	Anaerobutyricum hallii	13220.6794788	10176.5198687537	8032.43028217897	25398.0402596581	10270.1474821578	13265.3989654881	10724.112705271	6773.43814947845	15654.2761691566
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes hadrus	6347.71550607673	5325.73527401897	3942.4287690507	14327.2274058794	6655.57871020464	7770.67431640431	4276.97767895357	3276.60124384659	6344.74704572714
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia faecis	23816.7256841754	15967.6543035849	13993.2601766548	52379.3434785847	19513.5507823933	26692.0176649791	15963.1312484421	9520.79400081351	22347.3218159692
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia luti	11632.8886202298	8053.79473291183	7267.10345826976	26792.1772137677	8550.6931107552	13679.8986741817	7576.74068293831	4537.04483334032	10918.6019716992
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia sp. SC05B48	82967.4413963575	58183.4308879711	49710.8627192286	177838.738967067	67801.192124133	89854.6868438312	54721.8319631675	34107.4175786793	76318.7453194252
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Blautia	Blautia wexlerae	53154.9052880802	35954.9442390906	33208.1805471605	113309.410770739	43879.4299318347	60348.1165049994	35872.3101957924	21380.6902129321	51509.5362558317
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea longicatena	12315.1771156224	10475.7713490043	7484.52951091816	27869.844552221	13233.6665731339	15070.9913848726	8100.06168861606	6187.25619374167	12069.1087807771
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	3152.92141640137	1781.71907626198	1835.84085963771	7242.82713088476	2360.79214150155	3946.87217189544	2228.40062273795	1094.60133907901	3237.47876938306
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter saccharivorans	6183.697767765	4210.9579219397	3738.05493712623	14336.1505841098	5212.84126431662	7326.53429674588	4031.95264403033	2475.17802481493	5779.80675806097
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Mediterraneibacter	[Ruminococcus] gnavus	8882.17020786199	6627.04106076733	5426.92416485166	20361.2876598723	8296.44275517538	10469.939762366	5964.13146622476	3963.09559157943	8362.02679905487
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	unassigned	Lachnospiraceae bacterium GAM79	3488.59367724005	2152.02551406861	2103.43667577146	8560.61319945041	2835.17968748625	5289.28923611044	2947.0069081722	1443.89472448383	4606.76418733602
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Faecalibacterium	Faecalibacterium prausnitzii	48129.4620182411	31625.8394217799	32893.1801734309	119331.394682046	41086.1596626038	69662.8137565358	31155.6999805487	17516.2304306664	51527.8177438157
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus	Ruminococcus bromii	15157.6017671416	10828.1001958092	7998.35247615946	41718.1723140404	16280.419265344	20796.7380937471	10585.7104826173	6504.30763279379	14575.3767104432
Bacteria	Firmicutes	Clostridia	Clostridiales	unassigned	Monoglobus	Monoglobus pectinilyticus	2954.06409254098	1800.09580794051	1832.32210860121	8209.52262528662	2654.86931137245	4099.98400317852	1918.66297089004	1013.75812930346	2819.3298693046
Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	Phascolarctobacterium succinatutens	9846.06269880372	6423.67624882056	6844.71949233637	23856.4683023248	7876.10542188708	14161.8421102402	6497.92052404167	3508.5408483772	10861.2560496067
